
Keyword: taking business administration management	score: 14.5
Keyword: started taking kirkwood classes	score: 12.1666666667
Keyword: central city high school	score: 11.2777777778
Keyword: beltway high school students	score: 11.2777777778
Keyword: small business man	score: 9.5
Keyword: health care reform	score: 9.0
Keyword: pretty powerful forces	score: 9.0
Keyword: entire adult life	score: 9.0
Keyword: tough economic times	score: 9.0
Keyword: taking auto tech	score: 9.0
Keyword: 12th grade principal	score: 9.0
Keyword: dysfunctional political system	score: 9.0
Keyword: continuing ed program	score: 9.0
Keyword: advanced manufacturing laboratory	score: 9.0
Keyword: health care insurance	score: 9.0
Keyword: continuous learning starting	score: 8.5
Keyword: american presidency projectpromote	score: 8.33333333333
Keyword: met earlier today	score: 8.0
Keyword: adjunct composition instructor	score: 8.0
Keyword: finding blind kids	score: 7.71428571429
Keyword: highest debt load	score: 7.66666666667
Keyword: unknown student speaker	score: 7.625
Keyword: ceos make 300 times	score: 7.5
Keyword: good luck omen	score: 7.3
Keyword: monticello high school	score: 7.27777777778
Keyword: high school students	score: 7.27777777778
Keyword: kirkwood community college	score: 7.16666666667
Keyword: high school years	score: 6.94444444444
Keyword: average iowa graduate	score: 6.66666666667
Keyword: central city	score: 6.0
Keyword: traditional college student	score: 5.625
Keyword: ll work hard	score: 5.42857142857
Keyword: high school	score: 5.27777777778
Keyword: began taking	score: 5.0
Keyword: college learning	score: 4.5
Keyword: taking advantage	score: 4.5
Keyword: community college	score: 4.5
Keyword: law school	score: 4.5
Keyword: school age	score: 4.5
Keyword: american workers	score: 4.33333333333
Keyword: good luck	score: 4.3
Keyword: college experience	score: 4.0
Keyword: big fights	score: 4.0
Keyword: 48 credit hours	score: 4.0
Keyword: incredible honor	score: 4.0
Keyword: wheel chairs	score: 4.0
Keyword: drew mullin	score: 4.0
Keyword: work hard	score: 4.0
Keyword: typical worker	score: 4.0
Keyword: defense fund	score: 4.0
Keyword: big areas	score: 4.0
Keyword: diane temple	score: 4.0
Keyword: cedar rapids	score: 4.0
Keyword: real model	score: 4.0
Keyword: difficult childhood	score: 4.0
Keyword: naval academy	score: 4.0
Keyword: biotech programs	score: 4.0
Keyword: constitutional amendment	score: 4.0
Keyword: absolutely convinced	score: 4.0
Keyword: online class	score: 4.0
Keyword: college credits	score: 4.0
Keyword: bethany moore	score: 4.0
Keyword: english teacher	score: 4.0
Keyword: knowing full	score: 4.0
Keyword: minutes ago	score: 4.0
Keyword: terrific tour	score: 4.0
Keyword: short answer	score: 4.0
Keyword: sciences academy	score: 4.0
Keyword: tom harkin	score: 4.0
Keyword: answer session	score: 4.0
Keyword: good living	score: 3.8
Keyword: send kids	score: 3.71428571429
Keyword: kids chances	score: 3.71428571429
Keyword: deaf kids	score: 3.71428571429
Keyword: american families	score: 3.66666666667
Keyword: jason mclaughlin	score: 3.66666666667
Keyword: mason mclaughlin	score: 3.66666666667
Keyword: sophomore year	score: 3.66666666667
Keyword: year college	score: 3.66666666667
Keyword: young student	score: 3.625
Keyword: stay ahead	score: 3.5
Keyword: unaccountable money	score: 3.5
Keyword: systems engineering	score: 3.5
Keyword: stills training	score: 3.5
Keyword: ellen charmin	score: 3.5
Keyword: ll introduce	score: 3.42857142857
Keyword: coming back	score: 3.4
Keyword: part time	score: 3.4
Keyword: move forward	score: 3.33333333333
Keyword: strengthen families	score: 3.33333333333
Keyword: improve education	score: 3.33333333333
Keyword: basically shut	score: 3.33333333333
Keyword: great opportunity	score: 3.28571428571
Keyword: young people	score: 3.1
Keyword: partner schools	score: 3.0
Keyword: give back	score: 2.9
Keyword: great time	score: 2.68571428571
Keyword: kirkwood	score: 2.66666666667
Keyword: school	score: 2.5
Keyword: started â	score: 2.5
Keyword: college	score: 2.0
