
Keyword: small business printing drapery fabric	score: 20.7142857143
Keyword: world trade center soaring skyward	score: 19.9545454545
Keyword: developing renewable power â wind	score: 14.5
Keyword: earn paid sick days	score: 13.6666666667
Keyword: building cleaner power plants	score: 12.8333333333
Keyword: ceos making record pay	score: 11.375
Keyword: corporations making record profits	score: 11.25
Keyword: ll propose specific policies	score: 11.1363636364
Keyword: offer paid family leave	score: 10.6333333333
Keyword: top pay lower taxes	score: 10.4583333333
Keyword: promising lower taxes	score: 9.08333333333
Keyword: longest peacetime expansion	score: 9.0
Keyword: lower tax rate	score: 9.0
Keyword: transnational terror networks	score: 9.0
Keyword: fossil fuel extraction	score: 9.0
Keyword: clean energy superpower	score: 9.0
Keyword: rio grande valley	score: 9.0
Keyword: scranton lace mill	score: 9.0
Keyword: 1st grade teacher	score: 9.0
Keyword: russian nuclear warheads	score: 9.0
Keyword: illegal eviction stopped	score: 9.0
Keyword: considered mass amnesia	score: 9.0
Keyword: silicon valley cracked	score: 9.0
Keyword: small business owners	score: 8.71428571429
Keyword: small business loan	score: 8.71428571429
Keyword: providing tax relief	score: 8.66666666667
Keyword: complex trading schemes	score: 8.5
Keyword: blame historic forces	score: 8.5
Keyword: declining marriage rates	score: 8.5
Keyword: pretty powerful forces	score: 8.5
Keyword: representing brave firefighters	score: 8.5
Keyword: stashing profits overseas	score: 8.5
Keyword: cutting red tape	score: 8.5
Keyword: constantly rising standard	score: 8.5
Keyword: armed services committee	score: 8.5
Keyword: hedge fund managers	score: 8.5
Keyword: presidential republican choir	score: 8.5
Keyword: reproductive health decisions	score: 8.5
Keyword: shape global events	score: 8.4
Keyword: courting future failures	score: 8.25
Keyword: created huge wealth	score: 8.0
Keyword: abusive marriage ended	score: 8.0
Keyword: worked extra shifts	score: 8.0
Keyword: beautiful park dedicated	score: 8.0
Keyword: fourth fight â reforming	score: 8.0
Keyword: supervised law students	score: 8.0
Keyword: hair grow grayer	score: 8.0
Keyword: smarter electric grids	score: 8.0
Keyword: kindergarten teachers combined	score: 8.0
Keyword: expanded early voting	score: 7.83333333333
Keyword: single mom juggling	score: 7.83333333333
Keyword: impact lifelong success	score: 7.75
Keyword: president obama honored	score: 7.67857142857
Keyword: american presidency projectpromote	score: 7.66666666667
Keyword: including skillful diplomacy	score: 7.66666666667
Keyword: fundamental american belief	score: 7.66666666667
