
Keyword: republican candidate dismissed equal pay	score: 17.9722222222
Keyword: small drapery printing business	score: 14.0
Keyword: enter higher paying fields	score: 13.0
Keyword: guarantee fair pay reminded	score: 12.5555555556
Keyword: federal minimum wage level	score: 11.5
Keyword: top ceos earn 300 times	score: 10.0
Keyword: pretty awful behavior	score: 9.0
Keyword: governor jim hodges	score: 9.0
Keyword: produce record profits	score: 9.0
Keyword: typical american worker	score: 8.57142857143
Keyword: african american businesswomen	score: 8.57142857143
Keyword: young lawyer working	score: 8.33333333333
Keyword: national democratic chair	score: 8.33333333333
Keyword: working multiple jobs	score: 8.2
Keyword: pretty powerful forces	score: 8.0
Keyword: evidence shows works	score: 8.0
Keyword: lilly ledbetter case	score: 8.0
Keyword: early morning show	score: 7.75
Keyword: paycheck fairness act	score: 7.66666666667
Keyword: big long tables	score: 7.66666666667
Keyword: american presidency projectpromote	score: 7.57142857143
Keyword: promote pay transparency	score: 7.55555555556
Keyword: stay moving forward	score: 7.5
Keyword: makes corporations live	score: 7.5
Keyword: tough economic times	score: 7.4
Keyword: practicing lawyer back	score: 7.375
Keyword: competitive global economy	score: 7.28571428571
Keyword: good decent middle	score: 7.0
Keyword: lost money adds	score: 7.0
Keyword: called public diplomacy	score: 7.0
Keyword: lowest paid jobs	score: 6.86666666667
Keyword: pretty vigorous campaign	score: 6.8
Keyword: started calling presidents	score: 6.66666666667
Keyword: big office building	score: 6.66666666667
Keyword: state democratic chair	score: 6.60606060606
Keyword: american economic issue	score: 6.57142857143
Keyword: people lost homes	score: 6.5
Keyword: make ends meet	score: 6.22222222222
Keyword: federal level	score: 6.0
Keyword: people lost jobs	score: 5.7
Keyword: minimum wage	score: 5.5
Keyword: equal pay	score: 5.30555555556
Keyword: basic guarantee	score: 5.0
Keyword: fair game	score: 5.0
Keyword: good times	score: 4.7
Keyword: youngest candidate	score: 4.66666666667
Keyword: big advantage	score: 4.66666666667
Keyword: sacrificing pay	score: 4.55555555556
Keyword: pay cut	score: 4.55555555556
Keyword: fast forward	score: 4.5
Keyword: wage gap	score: 4.5
Keyword: wage theft	score: 4.5
Keyword: public office	score: 4.5
Keyword: young democracy	score: 4.33333333333
Keyword: democratic presidents	score: 4.33333333333
Keyword: democratic experiences	score: 4.33333333333
Keyword: american people	score: 4.07142857143
Keyword: council recruits	score: 4.0
Keyword: solemn promise	score: 4.0
Keyword: granddaughter lives	score: 4.0
Keyword: press conferences	score: 4.0
Keyword: private meetings	score: 4.0
Keyword: salary ranges	score: 4.0
Keyword: human rights	score: 4.0
Keyword: kindergarten teachers	score: 4.0
Keyword: flexible scheduling	score: 4.0
Keyword: real share	score: 4.0
Keyword: forested area	score: 4.0
Keyword: great secretaries	score: 4.0
Keyword: room full	score: 4.0
Keyword: crowd shouts	score: 4.0
Keyword: foreign ministers	score: 4.0
Keyword: carroll fowler	score: 4.0
Keyword: raise wages	score: 4.0
Keyword: opportunity ladder	score: 4.0
Keyword: prime ministers	score: 4.0
Keyword: decent living	score: 4.0
Keyword: legal tools	score: 4.0
Keyword: empty rhetoric	score: 4.0
Keyword: motherhood penalty	score: 4.0
Keyword: vaguely recall	score: 4.0
Keyword: primary breadwinners	score: 4.0
Keyword: barrack obama	score: 4.0
Keyword: governing philosophies	score: 4.0
Keyword: 1600 pennsylvania avenue	score: 4.0
Keyword: forever compared	score: 4.0
Keyword: deck stacked	score: 4.0
Keyword: middle class	score: 4.0
Keyword: south carolina	score: 4.0
Keyword: silk screens	score: 4.0
Keyword: restore faith	score: 4.0
Keyword: renaissance weekend	score: 4.0
Keyword: college fund	score: 4.0
Keyword: highly recommend	score: 4.0
Keyword: defense fund	score: 4.0
Keyword: democrats elected	score: 4.0
Keyword: financial destiny	score: 4.0
Keyword: extremely lucky	score: 4.0
Keyword: united states	score: 4.0
Keyword: soviet union	score: 4.0
Keyword: small businessman	score: 4.0
Keyword: thirteen cents	score: 4.0
Keyword: large companies	score: 4.0
Keyword: informed democrats	score: 4.0
Keyword: real accountability	score: 4.0
Keyword: sexual harassment	score: 4.0
Keyword: civil rights	score: 4.0
Keyword: difficult challenges	score: 4.0
Keyword: entire family	score: 4.0
Keyword: economic policies	score: 3.86666666667
Keyword: young people	score: 3.83333333333
Keyword: family issue	score: 3.8
Keyword: bogus issue	score: 3.8
Keyword: awesome show	score: 3.75
Keyword: american families	score: 3.68253968254
Keyword: inauguration day	score: 3.66666666667
Keyword: democratic party	score: 3.66666666667
Keyword: single day	score: 3.66666666667
Keyword: ways closer	score: 3.66666666667
Keyword: workplace policies	score: 3.66666666667
Keyword: turn white	score: 3.66666666667
Keyword: paid equally	score: 3.66666666667
Keyword: white house	score: 3.66666666667
Keyword: democratic women	score: 3.61904761905
Keyword: rushing home	score: 3.6
Keyword: adult life	score: 3.6
Keyword: life experiences	score: 3.6
Keyword: home safely	score: 3.6
Keyword: class life	score: 3.6
Keyword: economic problems	score: 3.53333333333
Keyword: disproportionately held	score: 3.5
Keyword: jakarta called	score: 3.5
Keyword: elementary school	score: 3.5
Keyword: joyce dikerson	score: 3.5
Keyword: important priority	score: 3.5
Keyword: real solutions	score: 3.5
Keyword: face exploitation	score: 3.5
Keyword: believed fundamentally	score: 3.5
Keyword: democrats win	score: 3.5
Keyword: hilton head	score: 3.5
Keyword: favorite statistic	score: 3.5
Keyword: negotiate fairly	score: 3.5
Keyword: finally november 2008	score: 3.5
Keyword: male coworkers	score: 3.5
Keyword: bad things	score: 3.5
Keyword: entire board	score: 3.5
Keyword: print plant	score: 3.5
Keyword: night knowing	score: 3.5
Keyword: grow grayer	score: 3.5
Keyword: phones kind	score: 3.5
Keyword: people overseas	score: 3.5
Keyword: rough time	score: 3.44444444444
Keyword: time planning	score: 3.44444444444
Keyword: time dealing	score: 3.44444444444
Keyword: wasting time	score: 3.44444444444
Keyword: ll join	score: 3.4
Keyword: ll call	score: 3.4
Keyword: back burner	score: 3.375
Keyword: everyday americans	score: 3.33333333333
Keyword: states today	score: 3.33333333333
Keyword: bill clinton	score: 3.33333333333
Keyword: longtime friends	score: 3.33333333333
Keyword: stay ahead	score: 3.33333333333
Keyword: bill talked	score: 3.33333333333
Keyword: compensating workers	score: 3.33333333333
Keyword: political campaign	score: 3.3
Keyword: failed top	score: 3.3
Keyword: includes women	score: 3.28571428571
Keyword: ensure women	score: 3.28571428571
Keyword: state legislature	score: 3.27272727273
Keyword: put college	score: 3.25
Keyword: elect talked	score: 3.22222222222
Keyword: fight discrimination	score: 3.2
Keyword: dinner table	score: 3.2
Keyword: president obama	score: 3.1875
Keyword: hard campaign	score: 3.175
Keyword: paid leave	score: 3.16666666667
Keyword: find ways	score: 3.16666666667
Keyword: presidents don	score: 3.125
Keyword: fought election	score: 3.125
Keyword: kids home	score: 3.1
Keyword: hour day	score: 3.0
Keyword: back things	score: 2.875
Keyword: ve spent	score: 2.83333333333
Keyword: people today	score: 2.83333333333
Keyword: americans win	score: 2.83333333333
Keyword: women taking	score: 2.78571428571
Keyword: ve made	score: 2.66666666667
Keyword: candidate	score: 2.66666666667
Keyword: ve worked	score: 2.58333333333
Keyword: pay	score: 2.55555555556
Keyword: hard work	score: 2.54166666667
Keyword: work hard	score: 2.54166666667
Keyword: senate back	score: 2.54166666667
Keyword: paying	score: 2.5
Keyword: made secretary	score: 2.5
Keyword: fields	score: 2.5
Keyword: president elect	score: 2.40972222222
Keyword: times	score: 2.2
Keyword: jobs	score: 2.2
Keyword: economic	score: 2.2
Keyword: presidency	score: 2.0
Keyword: small	score: 2.0
Keyword: meet	score: 2.0
Keyword: presidents	score: 2.0
Keyword: transparency	score: 2.0
Keyword: office	score: 2.0
Keyword: vigorous	score: 2.0
Keyword: forces	score: 2.0
Keyword: earn	score: 2.0
Keyword: case	score: 2.0
Keyword: middle	score: 2.0
Keyword: money	score: 2.0
Keyword: lost	score: 2.0
