
Keyword: hedge fund managers pay	score: 16.0
Keyword: typical american worker earns	score: 15.5
Keyword: solid middle class home	score: 14.0
Keyword: helping community banks serve	score: 12.6666666667
Keyword: local community reach customers	score: 11.9166666667
Keyword: costs small businesses time	score: 10.9583333333
Keyword: american presidency projectpromote	score: 9.5
Keyword: unnecessary red tape	score: 9.0
Keyword: simplify tax filing	score: 9.0
Keyword: lower tax rate	score: 9.0
Keyword: provide targeted credits	score: 9.0
Keyword: actual printing process	score: 9.0
Keyword: printing drapery fabrics	score: 9.0
Keyword: deep local ties	score: 8.75
Keyword: face extra barriers	score: 8.5
Keyword: hireâ¦ including women	score: 8.5
Keyword: women owned companies	score: 8.16666666667
Keyword: effort â creating jobs	score: 8.0
Keyword: round table participants	score: 7.66666666667
Keyword: scrub federal regulations	score: 7.66666666667
Keyword: small business owner	score: 7.66666666667
Keyword: find responsible ways	score: 7.66666666667
Keyword: small business man	score: 7.66666666667
Keyword: women owned business	score: 7.54166666667
Keyword: tough economic times	score: 7.5
Keyword: responsible small businesses	score: 7.125
Keyword: small businesses grow	score: 6.45833333333
Keyword: small business president	score: 6.33333333333
Keyword: make life easier	score: 6.26666666667
Keyword: middle class	score: 6.0
Keyword: businesses owned	score: 4.83333333333
Keyword: local banks	score: 4.75
Keyword: local governments	score: 4.75
Keyword: community banks	score: 4.66666666667
Keyword: small business	score: 4.66666666667
Keyword: extra jobs	score: 4.5
Keyword: economic clout	score: 4.5
Keyword: small businesses	score: 4.45833333333
Keyword: small banks	score: 4.29166666667
Keyword: create jobs	score: 4.0
Keyword: skipped vacations	score: 4.0
Keyword: people aren	score: 4.0
Keyword: paperwork designed	score: 4.0
Keyword: cedar falls	score: 4.0
Keyword: day laborers	score: 4.0
Keyword: add jobs	score: 4.0
Keyword: wall street	score: 4.0
Keyword: finally starting	score: 4.0
Keyword: ceos earn	score: 4.0
Keyword: playing field	score: 4.0
Keyword: risky behavior	score: 4.0
Keyword: endless examinations	score: 4.0
Keyword: giving millions	score: 4.0
Keyword: elected officials	score: 4.0
Keyword: bike tech	score: 4.0
Keyword: single loophole	score: 4.0
Keyword: fair shake	score: 4.0
Keyword: put food	score: 4.0
Keyword: responsible loans	score: 4.0
Keyword: truck drivers	score: 4.0
Keyword: trojan horse	score: 4.0
Keyword: believed fundamentally	score: 4.0
Keyword: congress insist	score: 4.0
Keyword: fortune 500 company	score: 4.0
Keyword: lowest growth	score: 4.0
Keyword: fully support	score: 4.0
Keyword: cynical attempt	score: 4.0
Keyword: amazing facility	score: 4.0
Keyword: driving growth	score: 4.0
Keyword: perfect storm	score: 4.0
Keyword: timely article	score: 4.0
Keyword: big banks â	score: 3.75
Keyword: big corporations	score: 3.75
Keyword: big banks	score: 3.75
Keyword: make sense	score: 3.6
Keyword: minority entrepreneurs	score: 3.5
Keyword: expand access	score: 3.5
Keyword: harming consumers â	score: 3.5
Keyword: private partnership	score: 3.5
Keyword: everyday americans	score: 3.5
Keyword: rolling back	score: 3.5
Keyword: large measure	score: 3.5
Keyword: stay ahead	score: 3.33333333333
Keyword: ve faced	score: 3.33333333333
Keyword: discussion today	score: 3.28571428571
