
Keyword: 21st century clean energy superpower	score: 21.1666666667
Keyword: justice john paul stevens	score: 16.0
Keyword: appoint supreme court justices	score: 15.0
Keyword: top 25 hedge fund managers	score: 12.5
Keyword: good positive support system	score: 12.25
Keyword: untreated mental health problems	score: 11.3333333333
Keyword: hedge fund managers	score: 10.0
Keyword: terrible cell coverage	score: 9.0
Keyword: producing good jobs	score: 9.0
Keyword: renewable fuel standard	score: 9.0
Keyword: eyes wide open	score: 9.0
Keyword: citizens united decision	score: 8.5
Keyword: american presidency projectpromote	score: 8.375
Keyword: entire adult life	score: 8.33333333333
Keyword: mentioning mental health	score: 8.33333333333
Keyword: supreme court made	score: 8.22222222222
Keyword: drug epidemicâmeth	score: 8.16666666667
Keyword: dysfunctional political system	score: 8.08333333333
Keyword: incredibly talented american	score: 8.04166666667
Keyword: child development proponent	score: 8.0
Keyword: coffee shop meeting	score: 8.0
Keyword: drug abuse problem	score: 7.91666666667
Keyword: typical american worker	score: 7.875
Keyword: called public diplomacy	score: 7.85714285714
Keyword: united states cares	score: 7.83333333333
Keyword: united states leads	score: 7.83333333333
Keyword: unaccountable dark money	score: 7.6
Keyword: mental health problem	score: 7.58333333333
Keyword: young man told	score: 7.5
Keyword: mental health problems	score: 7.33333333333
Keyword: affordable care act	score: 7.30952380952
Keyword: incredibly complicated time	score: 7.11111111111
Keyword: find common ground	score: 7.0
Keyword: free community college	score: 6.85714285714
Keyword: young people kill	score: 6.85294117647
Keyword: health care problems	score: 6.66666666667
Keyword: young people aren	score: 6.35294117647
Keyword: fund college education	score: 6.25714285714
Keyword: 21st century	score: 6.16666666667
Keyword: hard choices ahead	score: 5.91176470588
Keyword: mental health	score: 5.33333333333
Keyword: state promoting women	score: 5.28571428571
Keyword: political system	score: 5.08333333333
Keyword: living room talking	score: 5.0
Keyword: defense fund	score: 5.0
Keyword: american worker	score: 4.875
Keyword: united statesâ	score: 4.83333333333
Keyword: united states	score: 4.83333333333
Keyword: drug overdoses	score: 4.66666666667
Keyword: incredibly impressed	score: 4.66666666667
Keyword: health care	score: 4.66666666667
Keyword: bill called back	score: 4.56547619048
Keyword: child advocate	score: 4.5
Keyword: health insurance	score: 4.5
Keyword: heroin epidemic	score: 4.5
Keyword: american family	score: 4.375
Keyword: states turning	score: 4.33333333333
Keyword: suicide problem	score: 4.25
Keyword: brain development	score: 4.16666666667
Keyword: universal pre	score: 4.0
Keyword: tremendous strain	score: 4.0
Keyword: council bluffs	score: 4.0
Keyword: real progress	score: 4.0
Keyword: legal experts	score: 4.0
Keyword: average student	score: 4.0
Keyword: longer eligible	score: 4.0
Keyword: firm foundation	score: 4.0
Keyword: glib answers	score: 4.0
Keyword: warren buffett	score: 4.0
Keyword: senator obama	score: 4.0
Keyword: staying ahead	score: 4.0
Keyword: grave error	score: 4.0
Keyword: big impact	score: 4.0
Keyword: law school	score: 4.0
Keyword: huge strains	score: 4.0
Keyword: nature preserve	score: 4.0
Keyword: prime ministers	score: 4.0
Keyword: phone rings	score: 4.0
Keyword: february 1st	score: 4.0
Keyword: long ago	score: 4.0
Keyword: started thinking	score: 4.0
Keyword: âessentially criticizing	score: 4.0
Keyword: administration realizes	score: 4.0
Keyword: mason city	score: 4.0
Keyword: overwhelming burden	score: 4.0
Keyword: achievement gap	score: 4.0
Keyword: global warming	score: 4.0
Keyword: literally feeding	score: 4.0
Keyword: constitutional amendment	score: 4.0
Keyword: republican senators	score: 4.0
Keyword: told reliably	score: 4.0
Keyword: biggest stresses	score: 4.0
Keyword: high school	score: 4.0
Keyword: truck drivers	score: 4.0
Keyword: young woman	score: 4.0
Keyword: breast cancer	score: 4.0
Keyword: automobile accidents	score: 4.0
Keyword: rising wages	score: 4.0
Keyword: rewarding workers	score: 4.0
Keyword: hard choices	score: 3.91176470588
Keyword: lost jobs	score: 3.9
Keyword: american history	score: 3.875
Keyword: young people	score: 3.85294117647
Keyword: people aren	score: 3.85294117647
Keyword: american families	score: 3.80357142857
Keyword: morning show	score: 3.8
Keyword: awesome show	score: 3.8
Keyword: american people	score: 3.72794117647
Keyword: great discoveries	score: 3.66666666667
Keyword: brain research	score: 3.66666666667
Keyword: great recession	score: 3.66666666667
Keyword: find ways	score: 3.66666666667
Keyword: borrowed money	score: 3.6
Keyword: possibly hope	score: 3.5
Keyword: personal connection	score: 3.5
Keyword: future lies	score: 3.5
Keyword: easy answers	score: 3.5
Keyword: absolutely linked	score: 3.5
Keyword: economy today	score: 3.5
Keyword: important insight	score: 3.5
Keyword: recently wrote	score: 3.5
Keyword: climate change	score: 3.5
Keyword: close ranks	score: 3.5
Keyword: huge number	score: 3.5
Keyword: big challenges	score: 3.5
Keyword: fellow democracies	score: 3.5
Keyword: confident optimist	score: 3.5
Keyword: finally happened	score: 3.5
Keyword: started running	score: 3.5
Keyword: expert opinion	score: 3.5
Keyword: mammography recommendations	score: 3.5
Keyword: legitimate question	score: 3.5
Keyword: spend time	score: 3.44444444444
Keyword: taking time	score: 3.44444444444
Keyword: tearing families	score: 3.42857142857
Keyword: hard decisions	score: 3.41176470588
Keyword: lost houses	score: 3.4
Keyword: making college	score: 3.35714285714
Keyword: book called	score: 3.35714285714
Keyword: 16 million people	score: 3.35294117647
Keyword: people die	score: 3.35294117647
Keyword: job training	score: 3.33333333333
Keyword: voting rights	score: 3.33333333333
Keyword: beautiful home	score: 3.33333333333
Keyword: general election	score: 3.33333333333
Keyword: possibly imagine	score: 3.33333333333
Keyword: reality show	score: 3.3
Keyword: president feels	score: 3.25
Keyword: president obama	score: 3.25
Keyword: difficult problems	score: 3.25
Keyword: ignite opportunity	score: 3.25
Keyword: called backâ	score: 3.23214285714
Keyword: ll sign	score: 3.16666666667
Keyword: iowa graduates	score: 3.16666666667
Keyword: buy elections	score: 3.16666666667
Keyword: country today	score: 3.14285714286
Keyword: elect obama	score: 3.14285714286
Keyword: single day	score: 3.125
Keyword: big kind	score: 3.11111111111
Keyword: talk individually	score: 3.11111111111
Keyword: ve told	score: 3.1
Keyword: applause lines	score: 3.08333333333
Keyword: hard elections	score: 3.07843137255
Keyword: kindergarten teachers	score: 3.0
Keyword: strong families	score: 2.92857142857
Keyword: make college	score: 2.92380952381
Keyword: people connections	score: 2.85294117647
Keyword: strong communities	score: 2.83333333333
Keyword: past year	score: 2.83333333333
Keyword: aisle talking	score: 2.83333333333
Keyword: campaign committed	score: 2.75
Keyword: give people	score: 2.6862745098
Keyword: century	score: 2.66666666667
Keyword: important country	score: 2.64285714286
Keyword: campaigned hard	score: 2.61176470588
Keyword: top	score: 2.5
Keyword: work hard	score: 2.48319327731
Keyword: life	score: 2.33333333333
Keyword: problem	score: 2.25
Keyword: care	score: 2.16666666667
Keyword: affordable	score: 2.14285714286
Keyword: promoting	score: 2.0
Keyword: told	score: 2.0
Keyword: ahead	score: 2.0
Keyword: problemsâ	score: 2.0
Keyword: women	score: 2.0
Keyword: living	score: 2.0
Keyword: free	score: 2.0
Keyword: find	score: 2.0
Keyword: ground	score: 2.0
Keyword: meeting	score: 2.0
Keyword: support	score: 2.0
Keyword: problems	score: 2.0
Keyword: called	score: 1.85714285714
Keyword: college	score: 1.85714285714
Keyword: show	score: 1.8
Keyword: great	score: 1.66666666667
Keyword: room	score: 1.66666666667
Keyword: brain	score: 1.66666666667
Keyword: ways	score: 1.66666666667
Keyword: elections	score: 1.66666666667
Keyword: money	score: 1.6
Keyword: finally	score: 1.5
Keyword: woman	score: 1.5
Keyword: strong	score: 1.5
Keyword: change	score: 1.5
