
Keyword: pushing tougher gun laws	score: 13.0714285714
Keyword: top adviser john podesta	score: 12.5
Keyword: stuff contained classified information	score: 10.8011363636
Keyword: entire adult life	score: 9.0
Keyword: vast rural area	score: 9.0
Keyword: overseeing military interventions	score: 9.0
Keyword: responsible gun owners	score: 8.57142857143
Keyword: gun safety measures	score: 8.57142857143
Keyword: payer health care	score: 8.5
Keyword: wonderful young woman	score: 8.5
Keyword: sensitive diplomatic negotiations	score: 8.4
Keyword: information act request	score: 8.36363636364
Keyword: social security benefits	score: 8.22222222222
Keyword: american presidency projectpromote	score: 8.2
Keyword: vice president biden	score: 8.0
Keyword: accountability review board	score: 8.0
Keyword: nongovernment person passing	score: 8.0
Keyword: eric nordstrom recalled	score: 8.0
Keyword: including fbi officials	score: 8.0
Keyword: vice president accept	score: 8.0
Keyword: read classified material	score: 7.9375
Keyword: reporting sensitive information	score: 7.76363636364
Keyword: regional security officer	score: 7.72222222222
Keyword: white house correspondent	score: 7.66666666667
Keyword: reality television experience	score: 7.5
Keyword: free college tuition	score: 7.5
Keyword: treating classified information	score: 7.30113636364
Keyword: republican national committee	score: 7.25
Keyword: president obama announced	score: 7.16666666667
Keyword: state department deny	score: 7.08333333333
Keyword: hear senator sanders	score: 6.53333333333
Keyword: top adviser	score: 6.0
Keyword: sensitive informationâclinton	score: 5.8303030303
Keyword: left state department	score: 5.58333333333
Keyword: sensitive information	score: 4.76363636364
Keyword: national security	score: 4.72222222222
Keyword: board expansion	score: 4.66666666667
Keyword: gun manufacturers	score: 4.57142857143
Keyword: gun control	score: 4.57142857143
Keyword: gun ownership	score: 4.57142857143
Keyword: free college	score: 4.5
Keyword: regional director	score: 4.5
Keyword: senator obama	score: 4.36666666667
Keyword: hear politically	score: 4.33333333333
Keyword: classified information	score: 4.30113636364
Keyword: republican officeholders	score: 4.25
Keyword: benghazi committee	score: 4.25
Keyword: republican voters	score: 4.25
Keyword: security agents	score: 4.22222222222
Keyword: security requests	score: 4.22222222222
Keyword: strengthen security	score: 4.22222222222
Keyword: senator sanders	score: 4.2
Keyword: great care	score: 4.16666666667
Keyword: president obama	score: 4.16666666667
Keyword: state department	score: 4.08333333333
Keyword: hidden offer	score: 4.0
Keyword: pulling ahead	score: 4.0
Keyword: political level	score: 4.0
Keyword: oversized personality	score: 4.0
Keyword: path filled	score: 4.0
Keyword: expansive view	score: 4.0
Keyword: current pollster	score: 4.0
Keyword: highest level	score: 4.0
Keyword: absolute positions	score: 4.0
Keyword: intelligence community	score: 4.0
Keyword: small towns	score: 4.0
Keyword: sophisticated folks	score: 4.0
Keyword: potential risk	score: 4.0
Keyword: eighth investigation	score: 4.0
Keyword: north korea	score: 4.0
Keyword: target shooting	score: 4.0
Keyword: high levels	score: 4.0
Keyword: ground combat	score: 4.0
Keyword: 40th anniversary	score: 4.0
Keyword: prying eyes	score: 4.0
Keyword: overwhelming focus	score: 4.0
Keyword: inspector general	score: 4.0
Keyword: impossible standard	score: 4.0
Keyword: admitted drive	score: 4.0
Keyword: commercial break	score: 4.0
Keyword: positioningâpositioning	score: 4.0
Keyword: constantly shifting	score: 4.0
Keyword: common arguments	score: 4.0
Keyword: cut taxes	score: 4.0
Keyword: highest regard	score: 4.0
Keyword: expanding medicare	score: 4.0
Keyword: including students	score: 4.0
Keyword: rose blossoms	score: 4.0
Keyword: poll numbers	score: 4.0
Keyword: strong convictions	score: 4.0
Keyword: unclassified device	score: 4.0
Keyword: presidential election	score: 4.0
Keyword: public display	score: 4.0
Keyword: mental illness	score: 4.0
Keyword: domestic abusers	score: 4.0
Keyword: hampshire showing	score: 4.0
Keyword: poll number	score: 4.0
Keyword: mailer criticizing	score: 4.0
Keyword: highest praise	score: 4.0
Keyword: middle class	score: 4.0
Keyword: passionate intensity	score: 4.0
Keyword: donald trump	score: 4.0
Keyword: network hosts	score: 4.0
Keyword: partisan arm	score: 4.0
Keyword: real world	score: 4.0
Keyword: sid blumenthal	score: 4.0
Keyword: college compact	score: 4.0
Keyword: bernie sanders	score: 4.0
Keyword: important meant	score: 4.0
Keyword: hard copy	score: 4.0
Keyword: daughter ivanka	score: 4.0
Keyword: conspiracy theories	score: 4.0
Keyword: pays attention	score: 4.0
Keyword: represented upstate	score: 4.0
Keyword: personal account	score: 4.0
Keyword: neighboring vermontâ	score: 4.0
Keyword: high regard	score: 4.0
Keyword: afghan army	score: 4.0
Keyword: carrying water	score: 4.0
Keyword: raising issues	score: 4.0
Keyword: security professionals	score: 3.97222222222
Keyword: hear mine	score: 3.83333333333
Keyword: young people	score: 3.78571428571
Keyword: marked classified	score: 3.77083333333
Keyword: benghazi situation	score: 3.75
Keyword: benghazi tragedy	score: 3.75
Keyword: professionals charged	score: 3.75
Keyword: republican electorate	score: 3.75
Keyword: american families	score: 3.7
Keyword: experienced members	score: 3.66666666667
Keyword: week published	score: 3.66666666667
Keyword: enjoy coming	score: 3.66666666667
Keyword: great deal	score: 3.66666666667
Keyword: great detail	score: 3.66666666667
Keyword: failed policies	score: 3.66666666667
Keyword: date policies	score: 3.66666666667
Keyword: fighting members	score: 3.66666666667
Keyword: tough decisions	score: 3.6
Keyword: ll send	score: 3.5
Keyword: solve problems	score: 3.5
Keyword: clicking inside	score: 3.5
Keyword: classification process	score: 3.5
