
Keyword: widely lauded debate performance watched	score: 21.5
Keyword: libya eric nordstrom recalled	score: 15.0
Keyword: pushing tougher gun laws	score: 13.0714285714
Keyword: stuff contained classified information	score: 12.1515151515
Keyword: top adviser john podesta	score: 11.8333333333
Keyword: entire adult life	score: 9.0
Keyword: payer health care	score: 9.0
Keyword: vast rural area	score: 9.0
Keyword: begin video clip	score: 9.0
Keyword: end video clip	score: 9.0
Keyword: overseeing military interventions	score: 9.0
Keyword: responsible gun owners	score: 8.57142857143
Keyword: gun safety measures	score: 8.57142857143
Keyword: wonderful young woman	score: 8.5
Keyword: information act request	score: 8.33333333333
Keyword: social security benefits	score: 8.25
Keyword: american presidency projectpromote	score: 8.2
Keyword: vice president biden	score: 8.0
Keyword: accountability review board	score: 8.0
Keyword: sensitive diplomatic negotiations	score: 8.0
Keyword: including fbi officials	score: 8.0
Keyword: vice president accept	score: 8.0
Keyword: regional security officer	score: 7.75
Keyword: white house correspondent	score: 7.66666666667
Keyword: setting 15 million people	score: 7.53846153846
Keyword: reality television experience	score: 7.5
Keyword: free college tuition	score: 7.5
Keyword: hillary clinton heads	score: 7.13793103448
Keyword: republican national committee	score: 7.0
Keyword: state department deny	score: 6.95833333333
Keyword: hear senator sanders	score: 6.7
Keyword: runner hillary clinton	score: 6.13793103448
Keyword: top adviser	score: 5.33333333333
Keyword: bad nordstrom	score: 5.0
Keyword: national security	score: 4.75
Keyword: board expansion	score: 4.66666666667
Keyword: gun manufacturers	score: 4.57142857143
Keyword: gun control	score: 4.57142857143
Keyword: gun ownership	score: 4.57142857143
Keyword: free college	score: 4.5
Keyword: regional director	score: 4.5
Keyword: sensitive information	score: 4.33333333333
Keyword: republican officeholders	score: 4.25
Keyword: committee investigating	score: 4.25
Keyword: congressional committee	score: 4.25
Keyword: security agents	score: 4.25
Keyword: security requests	score: 4.25
Keyword: republican voters	score: 4.25
Keyword: senator sanders	score: 4.2
Keyword: senator obama	score: 4.2
Keyword: classified information	score: 4.15151515152
Keyword: benghazi committee	score: 4.05
Keyword: young people	score: 4.03846153846
Keyword: pulling ahead	score: 4.0
Keyword: political level	score: 4.0
Keyword: high support	score: 4.0
Keyword: oversized personality	score: 4.0
Keyword: security professionals	score: 4.0
Keyword: separate systems	score: 4.0
Keyword: path filled	score: 4.0
Keyword: expansive view	score: 4.0
Keyword: current pollster	score: 4.0
Keyword: highest level	score: 4.0
Keyword: absolute positions	score: 4.0
Keyword: intelligence community	score: 4.0
Keyword: small towns	score: 4.0
Keyword: quick break	score: 4.0
Keyword: potential risk	score: 4.0
Keyword: eighth investigation	score: 4.0
Keyword: north korea	score: 4.0
Keyword: target shooting	score: 4.0
Keyword: high levels	score: 4.0
Keyword: 40th anniversary	score: 4.0
Keyword: overwhelming focus	score: 4.0
Keyword: inspector general	score: 4.0
Keyword: impossible standard	score: 4.0
Keyword: commercial break	score: 4.0
Keyword: positioningâpositioning	score: 4.0
Keyword: pulled ahead	score: 4.0
Keyword: hear mine	score: 4.0
Keyword: constantly shifting	score: 4.0
Keyword: common arguments	score: 4.0
Keyword: cut taxes	score: 4.0
Keyword: highest regard	score: 4.0
Keyword: expanding medicare	score: 4.0
Keyword: including students	score: 4.0
Keyword: rose blossoms	score: 4.0
Keyword: unclassified device	score: 4.0
Keyword: recent months	score: 4.0
Keyword: presidential election	score: 4.0
Keyword: mental illness	score: 4.0
Keyword: domestic abusers	score: 4.0
Keyword: mailer criticizing	score: 4.0
Keyword: highest praise	score: 4.0
Keyword: middle class	score: 4.0
Keyword: president obama	score: 4.0
Keyword: passionate intensity	score: 4.0
Keyword: donald trump	score: 4.0
Keyword: network hosts	score: 4.0
Keyword: partisan arm	score: 4.0
Keyword: college compact	score: 4.0
Keyword: marked classify	score: 4.0
Keyword: bernie sanders	score: 4.0
Keyword: unclassified systems	score: 4.0
Keyword: important meant	score: 4.0
Keyword: daughter ivanka	score: 4.0
Keyword: conspiracy theories	score: 4.0
Keyword: represented upstate	score: 4.0
Keyword: personal account	score: 4.0
Keyword: neighboring vermontâ	score: 4.0
Keyword: public display	score: 4.0
Keyword: high regard	score: 4.0
Keyword: partisan sham	score: 4.0
Keyword: carrying water	score: 4.0
Keyword: raising issues	score: 4.0
Keyword: state department	score: 3.95833333333
Keyword: granite state	score: 3.83333333333
Keyword: marked classified	score: 3.81818181818
Keyword: benghazi situation	score: 3.8
Keyword: benghazi tragedy	score: 3.8
Keyword: professionals charged	score: 3.75
Keyword: great deal	score: 3.75
Keyword: great detail	score: 3.75
Keyword: republican electorate	score: 3.75
Keyword: american people	score: 3.73846153846
Keyword: american families	score: 3.7
Keyword: exclusive interview	score: 3.66666666667
Keyword: experienced members	score: 3.66666666667
Keyword: fighting members	score: 3.66666666667
Keyword: week published	score: 3.66666666667
Keyword: poll numbers	score: 3.66666666667
Keyword: poll number	score: 3.66666666667
Keyword: failed policies	score: 3.66666666667
Keyword: date policies	score: 3.66666666667
Keyword: tough decisions	score: 3.6
Keyword: good people	score: 3.53846153846
Keyword: reminding people	score: 3.53846153846
Keyword: solve problems	score: 3.5
Keyword: clicking inside	score: 3.5
Keyword: changing positions	score: 3.5
Keyword: fairly called	score: 3.5
Keyword: strong difference	score: 3.5
Keyword: las vegas	score: 3.5
Keyword: hampshire showing	score: 3.5
Keyword: good job	score: 3.5
Keyword: democratic front	score: 3.5
Keyword: pretty clear	score: 3.5
Keyword: policy difference	score: 3.5
Keyword: american politics	score: 3.45
Keyword: 40 years ago	score: 3.41666666667
Keyword: forty years	score: 3.41666666667
Keyword: years handling	score: 3.41666666667
Keyword: prior years	score: 3.41666666667
Keyword: made public	score: 3.375
Keyword: weekâquoteâ	score: 3.33333333333
Keyword: standing committees	score: 3.33333333333
Keyword: changed circumstances	score: 3.33333333333
Keyword: unclassified system	score: 3.33333333333
Keyword: enjoy coming	score: 3.33333333333
Keyword: congress thursday	score: 3.33333333333
Keyword: basically single	score: 3.33333333333
Keyword: positive response	score: 3.33333333333
Keyword: economic opportunity	score: 3.33333333333
Keyword: benghazi attacks	score: 3.3
Keyword: inject politics	score: 3.25
Keyword: collect guns	score: 3.25
Keyword: large part	score: 3.16666666667
Keyword: dadâquoteâ	score: 3.16666666667
Keyword: real time	score: 3.09090909091
Keyword: decisions made	score: 2.975
Keyword: made recommendations	score: 2.875
Keyword: put forward	score: 2.73333333333
Keyword: happened years	score: 2.66666666667
Keyword: rules allowed	score: 2.53333333333
Keyword: republicans put	score: 2.525
Keyword: john	score: 2.5
Keyword: laws	score: 2.5
Keyword: information	score: 2.33333333333
Keyword: top	score: 2.33333333333
Keyword: review	score: 2.33333333333
Keyword: president	score: 2.0
Keyword: sensitive	score: 2.0
