
Keyword: yesterday jerry falwell jr	score: 15.0
Keyword: business tax relief mrs	score: 14.5
Keyword: effective virtual jihadist network	score: 14.5
Keyword: economy creating good jobs	score: 13.5
Keyword: support community health centers	score: 12.6666666667
Keyword: public health reasons absolutely	score: 12.3333333333
Keyword: strictest gun control laws	score: 10.5
Keyword: massive tax decreases	score: 9.0
Keyword: universal background check	score: 9.0
Keyword: marco rubio points	score: 9.0
Keyword: made charitable contributions	score: 9.0
Keyword: worst financial crisis	score: 9.0
Keyword: doubt bin laden	score: 9.0
Keyword: washington post editorial	score: 9.0
Keyword: comprehensive background checks	score: 9.0
Keyword: health care proposals	score: 8.66666666667
Keyword: affordable care act	score: 8.66666666667
Keyword: special ops numbers	score: 8.5
Keyword: international terrorist network	score: 8.5
Keyword: oval office tonight	score: 8.5
Keyword: strictest gun control	score: 8.5
Keyword: end video clip	score: 8.37777777778
Keyword: american presidency projectpromote	score: 8.25
Keyword: american combat troopsâ	score: 8.25
Keyword: middle class relief	score: 8.16666666667
Keyword: begin video clip	score: 8.11111111111
Keyword: current fiscal commitments	score: 8.0
Keyword: good job answering	score: 8.0
Keyword: president obama inherited	score: 8.0
Keyword: concealed carry permits	score: 8.0
Keyword: broad based prosperity	score: 8.0
Keyword: reality tv star	score: 8.0
Keyword: egyptian prime minister	score: 8.0
Keyword: comprehensive immigration reform	score: 8.0
Keyword: legitimate security issue	score: 7.83333333333
Keyword: massive spending cuts	score: 7.75
Keyword: republican national committee	score: 7.75
Keyword: middle class families	score: 7.66666666667
Keyword: good fiscal responsibility	score: 7.66666666667
Keyword: retired military officers	score: 7.53333333333
Keyword: ath military officers	score: 7.53333333333
Keyword: mentally ill people	score: 7.51851851852
Keyword: focusing tax increases	score: 7.5
Keyword: including al qaeda	score: 7.5
Keyword: fast moving series	score: 7.5
Keyword: carpet bomb isis	score: 7.36363636364
Keyword: sophisticated internet user	score: 7.16666666667
Keyword: president obama promised	score: 7.0
Keyword: presidential nominating process	score: 7.0
Keyword: san bernardino attacks	score: 6.66666666667
Keyword: prevent terrorist attacks	score: 6.5
Keyword: fighting radical islam	score: 6.47619047619
Keyword: robust air campaign	score: 6.42857142857
Keyword: gun show loophole	score: 6.33333333333
Keyword: secretary hillary clinton	score: 6.07246376812
Keyword: make things worse	score: 5.9
Keyword: tax increases	score: 5.5
Keyword: terrorist act	score: 5.16666666667
Keyword: prime minister	score: 5.0
Keyword: jihadist ambitions	score: 5.0
Keyword: gun control	score: 5.0
Keyword: community college	score: 5.0
Keyword: falwell urged	score: 5.0
Keyword: san bernardino	score: 4.66666666667
Keyword: middle class	score: 4.66666666667
Keyword: american public	score: 4.58333333333
Keyword: good people	score: 4.51851851852
Keyword: national debt	score: 4.5
Keyword: security professionals	score: 4.5
Keyword: sophisticated propagation	score: 4.5
Keyword: vast numbers	score: 4.5
Keyword: start moving	score: 4.5
Keyword: president tonight	score: 4.5
Keyword: al qaeda	score: 4.5
Keyword: international terrorists	score: 4.5
Keyword: public sector	score: 4.33333333333
Keyword: online loophole	score: 4.33333333333
Keyword: big issue	score: 4.33333333333
Keyword: public arena	score: 4.33333333333
Keyword: fighting force	score: 4.33333333333
Keyword: gun issue	score: 4.33333333333
Keyword: republican rivals	score: 4.25
Keyword: republican nominee	score: 4.25
Keyword: american citizens	score: 4.25
Keyword: military authorization	score: 4.2
Keyword: iraqi military	score: 4.2
Keyword: radical islam	score: 4.14285714286
Keyword: radical jihadists	score: 4.14285714286
Keyword: qualifier radical	score: 4.14285714286
Keyword: radical elements	score: 4.14285714286
Keyword: rock solid	score: 4.0
Keyword: distorted view	score: 4.0
Keyword: ted cruz	score: 4.0
Keyword: potential behavior	score: 4.0
Keyword: gop rivals	score: 4.0
Keyword: speed limits	score: 4.0
Keyword: goodness gracious	score: 4.0
Keyword: paris attacks	score: 4.0
Keyword: targeted attacks	score: 4.0
Keyword: terrorists abroad	score: 4.0
Keyword: innocent civilians	score: 4.0
Keyword: gun laws	score: 4.0
Keyword: deeply distressing	score: 4.0
Keyword: great depression	score: 4.0
Keyword: drive drunk	score: 4.0
Keyword: quick break	score: 4.0
Keyword: family members	score: 4.0
Keyword: gun sellers	score: 4.0
Keyword: liberty university	score: 4.0
Keyword: balanced budget	score: 4.0
Keyword: bit amusing	score: 4.0
Keyword: federal government	score: 4.0
Keyword: florida governor	score: 4.0
Keyword: investment programs	score: 4.0
Keyword: commercial break	score: 4.0
Keyword: great recession	score: 4.0
Keyword: government hasn	score: 4.0
Keyword: fair share	score: 4.0
Keyword: actual direction	score: 4.0
Keyword: additional steps	score: 4.0
Keyword: jeb bush	score: 4.0
Keyword: private sector	score: 4.0
Keyword: biggest complaints	score: 4.0
Keyword: potential rivals	score: 4.0
Keyword: eleanor roosevelt	score: 4.0
Keyword: unidentified male	score: 4.0
Keyword: easy access	score: 4.0
Keyword: safety net	score: 4.0
Keyword: terrorist group	score: 4.0
Keyword: underlying principle	score: 4.0
Keyword: unidentified female	score: 4.0
Keyword: long relationship	score: 4.0
Keyword: big distinction	score: 4.0
Keyword: latest information	score: 4.0
Keyword: illegal immigrants	score: 4.0
Keyword: distorting islam	score: 4.0
Keyword: bad guys	score: 4.0
Keyword: party philosophy	score: 4.0
Keyword: general election	score: 4.0
Keyword: planned parenthood	score: 4.0
Keyword: saddam hussein	score: 4.0
Keyword: continuing grief	score: 4.0
Keyword: oil infrastructure	score: 4.0
Keyword: credible evidence	score: 4.0
Keyword: sunni leaders	score: 4.0
Keyword: family wealth	score: 4.0
Keyword: college funds	score: 4.0
Keyword: aging population	score: 4.0
Keyword: additional attacks	score: 4.0
Keyword: bad effect	score: 4.0
Keyword: short period	score: 4.0
Keyword: sunni sheikhs	score: 4.0
Keyword: increased demands	score: 4.0
Keyword: presidential campaign	score: 3.92857142857
Keyword: people fighting	score: 3.85185185185
Keyword: charleston loophole	score: 3.83333333333
Keyword: american people	score: 3.76851851852
Keyword: spending proposals	score: 3.75
Keyword: undocumented immigrants	score: 3.75
Keyword: american assault	score: 3.75
Keyword: legal action	score: 3.75
Keyword: republican side	score: 3.75
Keyword: legal term	score: 3.75
Keyword: legal experts	score: 3.75
Keyword: secretary clinton	score: 3.73913043478
Keyword: absolutely lied	score: 3.66666666667
Keyword: ll hear	score: 3.6
Keyword: hillary clinton	score: 3.57246376812
Keyword: declare war	score: 3.57142857143
Keyword: declaring war	score: 3.57142857143
Keyword: brave americans	score: 3.57142857143
Keyword: favorite americans	score: 3.57142857143
Keyword: peaceful people	score: 3.51851851852
Keyword: innocent people	score: 3.51851851852
Keyword: people apparently	score: 3.51851851852
Keyword: poor people	score: 3.51851851852
Keyword: people lost	score: 3.51851851852
Keyword: prohibit people	score: 3.51851851852
Keyword: easy thing	score: 3.5
Keyword: thick skin	score: 3.5
Keyword: respectfully disagree	score: 3.5
Keyword: law enforcement	score: 3.5
Keyword: live exclusive	score: 3.5
Keyword: insurance market	score: 3.5
Keyword: legally support	score: 3.5
Keyword: raise taxes	score: 3.5
Keyword: loving muslim	score: 3.5
Keyword: benghazi victims	score: 3.5
Keyword: law works	score: 3.5
Keyword: top 3 percent	score: 3.5
Keyword: husband ended	score: 3.5
Keyword: giving aid	score: 3.5
Keyword: parents experienced	score: 3.5
Keyword: existing strategy	score: 3.5
Keyword: start paying	score: 3.5
Keyword: recruiting tool	score: 3.5
Keyword: specific plans	score: 3.5
Keyword: bit hoping	score: 3.5
Keyword: donald trump	score: 3.4
Keyword: isis infrastructure	score: 3.36363636364
Keyword: isis targets	score: 3.36363636364
Keyword: congress continuing	score: 3.33333333333
Keyword: held account	score: 3.33333333333
Keyword: air cover	score: 3.33333333333
Keyword: told differently	score: 3.33333333333
Keyword: responsible approach	score: 3.33333333333
Keyword: evolving threat	score: 3.33333333333
Keyword: grow skin	score: 3.33333333333
Keyword: ve laid	score: 3.3125
Keyword: ve outlined	score: 3.3125
Keyword: ve studied	score: 3.3125
Keyword: fly list	score: 3.30769230769
Keyword: watch list	score: 3.30769230769
Keyword: back territory	score: 3.28571428571
Keyword: undocumented people	score: 3.26851851852
Keyword: long time	score: 3.25
Keyword: put lotion	score: 3.25
Keyword: hateful response	score: 3.25
Keyword: infrastructure plan	score: 3.25
Keyword: clinton promises	score: 3.23913043478
Keyword: clinton foundation	score: 3.23913043478
Keyword: chelsea clinton	score: 3.23913043478
Keyword: clinton school	score: 3.23913043478
Keyword: president clinton	score: 3.23913043478
Keyword: absoluteâclinton	score: 3.23913043478
Keyword: planned attack	score: 3.2
Keyword: fact checking	score: 3.2
Keyword: lot happier	score: 3.1
Keyword: americans question	score: 3.07142857143
Keyword: wrong people	score: 3.01851851852
Keyword: americans understand	score: 2.90476190476
