
Keyword: support comprehensive background checks	score: 14.6666666667
Keyword: debbie wasserman schultz wouldn	score: 13.75
Keyword: largely shia iraqi army	score: 11.8333333333
Keyword: findâcongress means coming	score: 11.0833333333
Keyword: give secretary kerry credit	score: 11.0
Keyword: women pass ranger school	score: 10.6458333333
Keyword: predatorâarmed predator	score: 9.0
Keyword: moms demand action	score: 9.0
Keyword: billie jean king	score: 9.0
Keyword: phony birth certificate	score: 9.0
Keyword: phony birth announcement	score: 9.0
Keyword: helen gehagen douglas	score: 9.0
Keyword: gangâdeadly combination	score: 9.0
Keyword: navy seal option	score: 9.0
Keyword: refugees leaving iraq	score: 9.0
Keyword: electoral college situations	score: 9.0
Keyword: prescription drug prices	score: 8.5
Keyword: real banner carrier	score: 8.5
Keyword: grandmother spoke irish	score: 8.5
Keyword: american presidency projectpromote	score: 8.2
Keyword: entire administration echoed	score: 8.0
Keyword: read fred hiatt	score: 8.0
Keyword: gun show loophole	score: 7.60606060606
Keyword: iraq war authorization	score: 7.5
Keyword: derogatory term anymore	score: 7.5
Keyword: free choice means	score: 7.5
Keyword: republican party problem	score: 7.36904761905
Keyword: air tomorrow morning	score: 7.33333333333
Keyword: led air alliance	score: 7.33333333333
Keyword: president basically declaring	score: 7.33333333333
Keyword: responsible gun owners	score: 7.27272727273
Keyword: real gun culture	score: 7.27272727273
Keyword: special forces support	score: 7.06666666667
Keyword: leading republican candidate	score: 6.58333333333
Keyword: american combat troops	score: 6.53333333333
Keyword: pretty typical democrat	score: 6.5
Keyword: remember nixon back	score: 6.18181818182
Keyword: united states coming	score: 6.11904761905
Keyword: republican party deal	score: 5.86904761905
Keyword: talking literally life	score: 5.83333333333
Keyword: united states doesn	score: 5.71428571429
Keyword: iraqi army	score: 5.33333333333
Keyword: ranger school	score: 5.33333333333
Keyword: gun people don	score: 4.96212121212
Keyword: gun owners	score: 4.77272727273
Keyword: gun culture	score: 4.77272727273
Keyword: derogatory comments	score: 4.5
Keyword: breath literally	score: 4.5
Keyword: irish accent	score: 4.5
Keyword: prescription drugs	score: 4.5
Keyword: leading candidate	score: 4.5
Keyword: special forces	score: 4.4
Keyword: republican party	score: 4.36904761905
Keyword: combat role	score: 4.33333333333
Keyword: line loophole	score: 4.33333333333
Keyword: charleston loophole	score: 4.33333333333
Keyword: democratic party	score: 4.28571428571
Keyword: united states	score: 4.28571428571
Keyword: gun lobby	score: 4.27272727273
Keyword: gun violence	score: 4.27272727273
Keyword: gun owner	score: 4.27272727273
Keyword: republican district	score: 4.08333333333
Keyword: republican nomination	score: 4.08333333333
Keyword: madam secretary	score: 4.0
Keyword: rand paul	score: 4.0
Keyword: basketball captain	score: 4.0
Keyword: play cards	score: 4.0
Keyword: amazing team	score: 4.0
Keyword: personally responsible	score: 4.0
Keyword: saudi arabia	score: 4.0
Keyword: tom delay	score: 4.0
Keyword: glass ceilings	score: 4.0
Keyword: phantom impersonator	score: 4.0
Keyword: john mccain	score: 4.0
Keyword: video screen	score: 4.0
Keyword: jefferson hotel	score: 4.0
Keyword: cruise missile	score: 4.0
Keyword: bobby kennedy	score: 4.0
Keyword: police hands	score: 4.0
Keyword: remain silent	score: 4.0
Keyword: anbar province	score: 4.0
Keyword: remember reading	score: 4.0
Keyword: athletic fields	score: 4.0
Keyword: significant majority	score: 4.0
Keyword: completely stunned	score: 4.0
Keyword: sunni troops	score: 4.0
Keyword: urgent issue	score: 4.0
Keyword: hunting rights	score: 4.0
Keyword: terrorist ideology	score: 4.0
Keyword: sandy hook	score: 4.0
Keyword: constitutional rights	score: 4.0
Keyword: grueling experience	score: 4.0
Keyword: lindsey graham	score: 4.0
Keyword: fellow soldiers	score: 4.0
Keyword: ashton carter	score: 4.0
Keyword: charlie rangel	score: 4.0
Keyword: 12 questions tonight	score: 4.0
Keyword: taking drugs	score: 4.0
Keyword: male competitors	score: 4.0
Keyword: unified coalition	score: 4.0
Keyword: joe scarborough	score: 4.0
Keyword: chuck schumer	score: 4.0
Keyword: deeply distressing	score: 4.0
Keyword: collecting rights	score: 4.0
Keyword: fly zone	score: 4.0
Keyword: secretary carter	score: 4.0
Keyword: pretty sick	score: 4.0
Keyword: regime change	score: 4.0
Keyword: illegal immigrant	score: 4.0
Keyword: rival organization	score: 4.0
Keyword: deck stacked	score: 4.0
Keyword: free choice	score: 4.0
Keyword: rejected roundly	score: 4.0
Keyword: inflammatory rhetoric	score: 4.0
Keyword: george mcgovern	score: 4.0
Keyword: looked unbeatable	score: 4.0
