
Keyword: vice president joe biden offered	score: 17.3142857143
Keyword: capping prescription drug costs	score: 16.0
Keyword: health care insurance program	score: 13.5
Keyword: clean renewable energy future	score: 12.1
Keyword: brady campaign endorsement today	score: 10.3823529412
Keyword: people start paying attention	score: 10.2727272727
Keyword: issue donald trump wanted	score: 9.63333333333
Keyword: march 15th states	score: 9.0
Keyword: woman delfin cherry	score: 9.0
Keyword: dangerously mentally ill	score: 9.0
Keyword: paid family leave	score: 8.75
Keyword: march 1st states	score: 8.5
Keyword: comprehensive background checks	score: 8.5
Keyword: fair share surcharge	score: 8.33333333333
Keyword: minimum tax rate	score: 8.25
Keyword: starting january 20th	score: 8.0
Keyword: credit default swaps	score: 8.0
Keyword: defend human rights	score: 7.71428571429
Keyword: president obama inherited	score: 7.71428571429
Keyword: american voters decide	score: 7.6
Keyword: lost family members	score: 7.55
Keyword: corporate executive pay	score: 7.5
Keyword: countless campaign events	score: 7.38235294118
Keyword: american people elected	score: 7.37272727273
Keyword: negative comments made	score: 7.33333333333
Keyword: american presidency projectpromote	score: 7.26666666667
Keyword: called buffet rule	score: 7.25
Keyword: cold monday night	score: 7.25
Keyword: good economic policies	score: 7.0
Keyword: make health care	score: 6.91666666667
Keyword: campaign stage predominantly	score: 6.88235294118
Keyword: senator sanders voted	score: 6.84848484848
Keyword: funny thing alisyn	score: 6.4
Keyword: addressing income inequality	score: 6.33333333333
Keyword: thinks bernie sanders	score: 5.72348484848
Keyword: gun show loophole	score: 5.51428571429
Keyword: health care	score: 5.5
Keyword: donald trump	score: 5.33333333333
Keyword: monday night	score: 4.75
Keyword: background check	score: 4.5
Keyword: brady bill	score: 4.5
Keyword: february 1st	score: 4.5
Keyword: unwritten rule	score: 4.5
Keyword: cold weather	score: 4.5
Keyword: opponent voted	score: 4.5
Keyword: brady campaign	score: 4.38235294118
Keyword: american people	score: 4.37272727273
Keyword: senator sanders	score: 4.34848484848
Keyword: income equality	score: 4.33333333333
Keyword: appointments made	score: 4.33333333333
Keyword: income inequality	score: 4.33333333333
Keyword: vice president	score: 4.31428571429
Keyword: countless people	score: 4.27272727273
Keyword: family support	score: 4.15
Keyword: american workers	score: 4.1
Keyword: bernie sanders	score: 4.05681818182
Keyword: sexual assault	score: 4.0
Keyword: early childhood	score: 4.0
Keyword: democratic party	score: 4.0
Keyword: wall street	score: 4.0
Keyword: driving force	score: 4.0
Keyword: federal record	score: 4.0
Keyword: big ideas	score: 4.0
Keyword: broader range	score: 4.0
Keyword: domestic policy	score: 4.0
Keyword: nuclear weapon	score: 4.0
Keyword: emotional event	score: 4.0
Keyword: view equality	score: 4.0
Keyword: real winter	score: 4.0
Keyword: tonight show	score: 4.0
Keyword: challenging road	score: 4.0
Keyword: start planning	score: 4.0
Keyword: political process	score: 4.0
Keyword: mass killings	score: 4.0
Keyword: tightening race	score: 4.0
Keyword: deeply respect	score: 4.0
Keyword: spirited debate	score: 4.0
Keyword: deep disagreements	score: 4.0
Keyword: good education	score: 4.0
Keyword: oval office	score: 4.0
Keyword: cut trillions	score: 4.0
Keyword: sandy hook	score: 4.0
Keyword: young immigrant	score: 4.0
Keyword: increasingly difficult	score: 4.0
Keyword: factory worker	score: 4.0
Keyword: lace mills	score: 4.0
Keyword: good reflection	score: 4.0
Keyword: gas industry	score: 4.0
Keyword: fly zone	score: 4.0
Keyword: community college	score: 4.0
Keyword: rising china	score: 4.0
Keyword: white house	score: 4.0
Keyword: education system	score: 4.0
Keyword: charitable exception	score: 4.0
Keyword: college affordability	score: 4.0
Keyword: limiting deductions	score: 4.0
Keyword: south carolina	score: 4.0
Keyword: bad behavior	score: 4.0
Keyword: real differences	score: 4.0
Keyword: public colleges	score: 4.0
Keyword: 21st century	score: 4.0
Keyword: lower temperatures	score: 4.0
Keyword: domestic abusers	score: 4.0
Keyword: school unprepared	score: 4.0
Keyword: big difference	score: 4.0
Keyword: sexual assaultâ	score: 4.0
Keyword: exact number	score: 4.0
Keyword: negotiating table	score: 4.0
Keyword: totally predictable	score: 4.0
Keyword: agree completely	score: 4.0
Keyword: public service	score: 4.0
Keyword: buying guns	score: 4.0
Keyword: tax plans	score: 3.91666666667
Keyword: national campaign	score: 3.88235294118
Keyword: campaign advocating	score: 3.88235294118
Keyword: campaign organization	score: 3.88235294118
Keyword: campaign trail	score: 3.88235294118
Keyword: online loophole	score: 3.8
Keyword: voting issue	score: 3.8
Keyword: poor people	score: 3.77272727273
Keyword: people primarily	score: 3.77272727273
Keyword: average 90 people	score: 3.77272727273
Keyword: young people	score: 3.77272727273
Keyword: people begin	score: 3.77272727273
Keyword: tax plan	score: 3.75
Keyword: book called	score: 3.75
Keyword: percent surcharge	score: 3.73333333333
Keyword: voting rights	score: 3.71428571429
Keyword: gun policy	score: 3.71428571429
Keyword: gun violence	score: 3.71428571429
Keyword: gay rights	score: 3.71428571429
Keyword: civil rights	score: 3.71428571429
Keyword: ve made	score: 3.66666666667
Keyword: phone call	score: 3.66666666667
Keyword: great recession	score: 3.66666666667
Keyword: great characters	score: 3.66666666667
Keyword: long record	score: 3.66666666667
Keyword: caucus night	score: 3.65
Keyword: quinnipiac poll	score: 3.6
Keyword: ppp poll	score: 3.6
Keyword: buy guns	score: 3.5
Keyword: clock back	score: 3.5
Keyword: life choices	score: 3.5
Keyword: free tuition	score: 3.5
Keyword: 4 million purchasers	score: 3.5
Keyword: bigger margin	score: 3.5
Keyword: absolutely committed	score: 3.5
Keyword: republican administration	score: 3.5
Keyword: adult life	score: 3.5
Keyword: opportunities life	score: 3.5
Keyword: violent criminals	score: 3.5
Keyword: defense fund	score: 3.5
Keyword: hour ago	score: 3.5
Keyword: presidents make	score: 3.41666666667
Keyword: make education	score: 3.41666666667
Keyword: broader agenda	score: 3.4
Keyword: community support	score: 3.4
Keyword: caucus cards	score: 3.4
Keyword: legislative agenda	score: 3.4
