
Keyword: nbc news/wall street journal/marist polls	score: 21.0
Keyword: led arms services committee investigation	score: 20.6666666667
Keyword: led intelligence committee investigation	score: 16.1666666667
Keyword: ve watched president obama dig	score: 15.5
Keyword: democratic presidential candidate length	score: 14.7
Keyword: des moines register poll	score: 14.5
Keyword: fbi agent robert levinson	score: 14.25
Keyword: democratic caucus goers identify	score: 13.7
Keyword: democratic caucus goers identified	score: 13.7
Keyword: entire chicago police department	score: 12.6
Keyword: bob levinson coming home	score: 12.5
Keyword: show strong american leadership	score: 12.2666666667
Keyword: universal health care plan	score: 11.75
Keyword: hillary clinton/bernie sanders race	score: 11.3833333333
Keyword: des moines register	score: 10.5
Keyword: return bob levinson	score: 9.75
Keyword: free market economy	score: 9.0
Keyword: senate finance committee	score: 9.0
Keyword: fashioned job opportunities	score: 9.0
Keyword: vigorous jobs agenda	score: 9.0
Keyword: rescue ambassador stevens	score: 9.0
Keyword: comprehensive background checks	score: 9.0
Keyword: 2016 presidential race participants	score: 8.83333333333
Keyword: mother emanuel church	score: 8.66666666667
Keyword: american presidency projectpromote	score: 8.6
Keyword: nuclear weapons program	score: 8.55
Keyword: comprehensive health analysis	score: 8.5
Keyword: greatest economic engine	score: 8.5
Keyword: administer health care	score: 8.5
Keyword: typical political rhetoric	score: 8.5
Keyword: security council resolutions	score: 8.41666666667
Keyword: quinnipiac found sanders	score: 8.25
Keyword: health insurance program	score: 8.25
Keyword: gun safety measures	score: 8.125
Keyword: senator marco rubio	score: 8.1
Keyword: ballistic missile program	score: 8.08333333333
Keyword: top campaign aides	score: 8.0
Keyword: put raising incomes	score: 7.85714285714
Keyword: end video clip	score: 7.83333333333
Keyword: bernie sanders calls	score: 7.75
Keyword: mayor rahm emanuel	score: 7.66666666667
Keyword: good morningâsecretary clinton	score: 7.60606060606
Keyword: health care back	score: 7.3
Keyword: national security threat	score: 7.25
Keyword: good step forward	score: 7.125
Keyword: gun show loophole	score: 7.125
Keyword: begin video clip	score: 7.0
Keyword: security council sanctions	score: 6.91666666667
