
Keyword: pass comprehensive commonsense gun measures	score: 22.6666666667
Keyword: ultimately lower health care costs	score: 18.5909090909
Keyword: liberal columnist mark shields	score: 16.0
Keyword: success taking back ramadi	score: 14.2
Keyword: lower health care costs	score: 13.5909090909
Keyword: obama adviser david axelrod	score: 13.4166666667
Keyword: syrian moderates years ago	score: 13.0
Keyword: sanders campaignâcampaign manager	score: 11.7727272727
Keyword: affordable health care	score: 9.25757575758
Keyword: universal health care	score: 9.25757575758
Keyword: affordable care act	score: 9.16666666667
Keyword: infamous iranian prison	score: 9.0
Keyword: vicious civil war	score: 9.0
Keyword: begin video clip	score: 9.0
Keyword: pretty uneven match	score: 9.0
Keyword: end video clip	score: 9.0
Keyword: nuclear weapons program	score: 9.0
Keyword: vile attacks imaginable	score: 8.5
Keyword: ballistic missile program	score: 8.33333333333
Keyword: provide health care	score: 8.25757575758
Keyword: long time ago	score: 8.0
Keyword: sunni tribal fighters	score: 8.0
Keyword: make america safer	score: 8.0
Keyword: private security contractors	score: 8.0
Keyword: cia director petraeus	score: 8.0
Keyword: american presidency projectpromote	score: 8.0
Keyword: payer health care	score: 7.88257575758
Keyword: letting states experiment	score: 7.8
Keyword: contentious national debate	score: 7.75
Keyword: big night tonight	score: 7.75
Keyword: hikers back home	score: 7.7
Keyword: payer system administrated	score: 7.625
Keyword: accusing bernie sanders	score: 7.52272727273
Keyword: criticize president obama	score: 7.41666666667
Keyword: lower costs	score: 7.33333333333
Keyword: empower republican governors	score: 7.0
Keyword: united states government	score: 6.63333333333
Keyword: health care	score: 6.25757575758
Keyword: state hillary clinton	score: 5.53571428571
Keyword: politifact called chelsea	score: 5.25
Keyword: sanders campaign	score: 5.02272727273
Keyword: syrian fighters	score: 5.0
Keyword: debate tonight	score: 4.75
Keyword: gun lobby	score: 4.66666666667
Keyword: david brock	score: 4.66666666667
Keyword: health plan	score: 4.59090909091
Keyword: bernie sanders	score: 4.52272727273
Keyword: federal government	score: 4.5
Keyword: scathing attacks	score: 4.5
Keyword: contentious phase	score: 4.5
Keyword: president obama	score: 4.41666666667
Keyword: missile activity	score: 4.33333333333
Keyword: senator sanders	score: 4.27272727273
Keyword: big portion	score: 4.25
Keyword: democratic debate	score: 4.25
Keyword: spirited debate	score: 4.25
Keyword: big believer	score: 4.25
Keyword: big concern	score: 4.25
Keyword: united states	score: 4.13333333333
Keyword: grown woman	score: 4.0
Keyword: hillary call	score: 4.0
Keyword: continuing oppression	score: 4.0
Keyword: consistently vote	score: 4.0
Keyword: cinematic version	score: 4.0
Keyword: iowa caucuses	score: 4.0
Keyword: good chance	score: 4.0
Keyword: inflame tensions	score: 4.0
Keyword: islamic militants	score: 4.0
Keyword: iraqi army	score: 4.0
Keyword: pay considerably	score: 4.0
Keyword: international community	score: 4.0
Keyword: shane bauer	score: 4.0
Keyword: provide quality	score: 4.0
Keyword: jeff weaver	score: 4.0
Keyword: political hack	score: 4.0
Keyword: hikers released	score: 4.0
Keyword: foreign funding	score: 4.0
Keyword: secret soldiers	score: 4.0
Keyword: legislative proposals	score: 4.0
Keyword: awe chance	score: 4.0
Keyword: totally irresponsible	score: 4.0
Keyword: tough words	score: 4.0
Keyword: entire world	score: 4.0
Keyword: dangerous weapon	score: 4.0
Keyword: mail server	score: 4.0
Keyword: democrat alike	score: 4.0
Keyword: marie slaughter	score: 4.0
Keyword: extraordinary brave	score: 4.0
Keyword: similar goals	score: 4.0
Keyword: movie opened	score: 4.0
Keyword: kurdish fighters	score: 4.0
Keyword: continuing obligation	score: 4.0
Keyword: bear responsibility	score: 4.0
Keyword: major lines	score: 4.0
Keyword: top allies	score: 4.0
Keyword: perfect world	score: 4.0
Keyword: busy campaigning	score: 4.0
Keyword: key argument	score: 4.0
Keyword: politically feasible	score: 4.0
Keyword: charleston loophole	score: 4.0
Keyword: held prisoner	score: 4.0
Keyword: money coming	score: 4.0
Keyword: terrorist groups	score: 4.0
Keyword: foreign fighters	score: 4.0
Keyword: good luck	score: 4.0
Keyword: medical records	score: 4.0
Keyword: democratic candidate	score: 4.0
Keyword: territory back	score: 3.86666666667
Keyword: clear path	score: 3.8
Keyword: make clear	score: 3.8
Keyword: clear mission	score: 3.8
Keyword: permit states	score: 3.8
Keyword: guarantees states	score: 3.8
Keyword: state department	score: 3.75
Keyword: open territory	score: 3.66666666667
Keyword: payer road	score: 3.625
Keyword: madam secretary	score: 3.6
Keyword: secretary panetta	score: 3.6
Keyword: nonfiction book	score: 3.5
Keyword: assad regime	score: 3.5
Keyword: nations joining	score: 3.5
Keyword: asked frequently	score: 3.5
Keyword: army backed	score: 3.5
Keyword: positive movement	score: 3.5
Keyword: fbi investigation	score: 3.5
Keyword: deprive isis	score: 3.5
Keyword: factual answer	score: 3.5
Keyword: biggest differences	score: 3.5
Keyword: current plan	score: 3.5
Keyword: isis leadership	score: 3.5
Keyword: policy planning	score: 3.5
Keyword: honest attack	score: 3.5
Keyword: attack turned	score: 3.5
Keyword: immunity legislation	score: 3.4
