
Keyword: months ago kevin mccarthy spilled	score: 23.0
Keyword: wall street writ large	score: 15.0
Keyword: madam secretaryâstay safe	score: 12.5
Keyword: wall street contributions	score: 10.0
Keyword: american presidency projectpromote	score: 9.0
Keyword: des moines register	score: 9.0
Keyword: bin laden raid	score: 9.0
Keyword: material marked classified	score: 9.0
Keyword: aging democratic establishment	score: 8.66666666667
Keyword: affordable care act	score: 8.5
Keyword: trump rally yesterday	score: 8.33333333333
Keyword: political observer understand	score: 8.16666666667
Keyword: prescription drug companies	score: 8.0
Keyword: senator grassley shows	score: 8.0
Keyword: deja vu happening	score: 8.0
Keyword: health care passed	score: 7.9
Keyword: carried interest loophole	score: 7.75
Keyword: democratic caucus goers	score: 7.66666666667
Keyword: health care groups	score: 6.9
Keyword: opponent senator sanders	score: 6.83333333333
Keyword: big banks paid	score: 6.5
Keyword: state hillary clinton	score: 5.71428571429
Keyword: health care	score: 4.9
Keyword: 18 democratic governors	score: 4.66666666667
Keyword: madam secretary	score: 4.5
Keyword: paid speeches	score: 4.5
Keyword: madam secretaryâ	score: 4.5
Keyword: senator sanders	score: 4.33333333333
Keyword: woman yesterday	score: 4.33333333333
Keyword: big choice	score: 4.25
Keyword: big shot	score: 4.25
Keyword: political capital	score: 4.16666666667
Keyword: political capitalâ	score: 4.16666666667
Keyword: hiv medication	score: 4.0
Keyword: karl rove	score: 4.0
Keyword: enthusiastically pursuing	score: 4.0
Keyword: hedge funds	score: 4.0
Keyword: senators endorsing	score: 4.0
Keyword: single voter	score: 4.0
Keyword: close race	score: 4.0
Keyword: ways tilt	score: 4.0
Keyword: wild year	score: 4.0
Keyword: moving forward	score: 4.0
Keyword: election booth	score: 4.0
Keyword: marco rubio	score: 4.0
Keyword: wide array	score: 4.0
Keyword: tough decision	score: 4.0
Keyword: low turnout	score: 4.0
Keyword: lower prices	score: 4.0
Keyword: cedar rapids	score: 4.0
Keyword: supporters pray	score: 4.0
Keyword: auto dealers	score: 4.0
Keyword: michael bloomberg	score: 4.0
Keyword: raise incomes	score: 4.0
Keyword: gave speeches	score: 4.0
Keyword: judiciary committee	score: 4.0
Keyword: mortgage markets	score: 4.0
Keyword: incomes rising	score: 4.0
Keyword: tax system	score: 4.0
Keyword: election day	score: 4.0
Keyword: greater impact	score: 4.0
Keyword: february 1st	score: 4.0
Keyword: extra cloud	score: 4.0
Keyword: gayle collins	score: 4.0
Keyword: influence democrats	score: 4.0
Keyword: goldman sachs	score: 4.0
Keyword: big issue	score: 3.91666666667
Keyword: events yesterday	score: 3.83333333333
Keyword: financial interest	score: 3.75
Keyword: investment banks	score: 3.75
Keyword: opponent 74 years	score: 3.75
Keyword: hillary clinton	score: 3.71428571429
Keyword: complicated world	score: 3.66666666667
Keyword: couple hundred	score: 3.66666666667
Keyword: world coming	score: 3.66666666667
Keyword: state working	score: 3.66666666667
Keyword: benghazi investigation	score: 3.66666666667
Keyword: quick questions	score: 3.66666666667
Keyword: mail issue	score: 3.66666666667
Keyword: fbi investigation	score: 3.66666666667
Keyword: long resume	score: 3.66666666667
Keyword: great couple	score: 3.66666666667
Keyword: good team	score: 3.625
Keyword: good conversation	score: 3.625
Keyword: good friend	score: 3.625
Keyword: good news	score: 3.625
Keyword: feel great	score: 3.5
Keyword: president obama	score: 3.5
Keyword: potential candidacy	score: 3.5
Keyword: 90 percent coverage	score: 3.5
Keyword: york times	score: 3.5
Keyword: simple reason	score: 3.5
Keyword: republican side	score: 3.5
Keyword: important voters	score: 3.5
Keyword: ll catch	score: 3.4
Keyword: ll find	score: 3.4
Keyword: republicans leak	score: 3.33333333333
Keyword: important issues	score: 3.33333333333
Keyword: long run	score: 3.16666666667
Keyword: day people	score: 3.16666666667
Keyword: people nodding	score: 3.16666666667
Keyword: asked questions	score: 3.16666666667
Keyword: feel good	score: 3.125
Keyword: months	score: 3.0
Keyword: economy working	score: 2.86666666667
Keyword: make progress	score: 2.7
Keyword: state	score: 2.0
Keyword: caucus	score: 2.0
Keyword: groups	score: 2.0
Keyword: senator	score: 2.0
Keyword: happening	score: 2.0
