
Keyword: polls show senator sanders	score: 11.5666666667
Keyword: essentially calling senator sanders	score: 10.5666666667
Keyword: democratic senate campaign committee	score: 10.4166666667
Keyword: universal coverage building	score: 9.0
Keyword: phone calls returned	score: 9.0
Keyword: affordable care act	score: 9.0
Keyword: signing dodd frank	score: 9.0
Keyword: imposing tough rules	score: 9.0
Keyword: read behavioral science	score: 8.5
Keyword: big infrastructure problem	score: 8.33333333333
Keyword: howard dean supporting	score: 8.33333333333
Keyword: elect obama turns	score: 8.33333333333
Keyword: health care approach	score: 8.33333333333
Keyword: year ago april	score: 8.0
Keyword: seek common ground	score: 8.0
Keyword: american presidency projectpromote	score: 8.0
Keyword: friend debbie stabenow	score: 8.0
Keyword: campaign gossip stories	score: 7.75
Keyword: poor american city	score: 7.75
Keyword: gave paid speeches	score: 7.66666666667
Keyword: frankly expected result	score: 7.5
Keyword: half dozen people	score: 7.45
Keyword: republican candidate events	score: 7.16666666667
Keyword: ve stood firm	score: 7.13333333333
Keyword: great excruciating detail	score: 7.0
Keyword: people treated respectfully	score: 6.95
Keyword: senator sanders campaign	score: 6.81666666667
Keyword: make partisan advantage	score: 6.6
Keyword: senator sanders supporters	score: 6.35238095238
Keyword: hard fought campaign	score: 6.25
Keyword: lot love people	score: 5.65
Keyword: senator sanders	score: 5.06666666667
Keyword: essentially implying	score: 5.0
Keyword: debbie stabenow	score: 5.0
Keyword: republican candidate	score: 4.83333333333
Keyword: hear people talking	score: 4.78333333333
Keyword: democratic side	score: 4.66666666667
Keyword: read psychology	score: 4.5
Keyword: horror frankly	score: 4.5
Keyword: treated badly	score: 4.5
Keyword: sanders campaign	score: 4.41666666667
Keyword: vermont supporting	score: 4.33333333333
Keyword: republican party	score: 4.33333333333
Keyword: big oil	score: 4.33333333333
Keyword: big lack	score: 4.33333333333
Keyword: barack obama	score: 4.33333333333
Keyword: wool partisan	score: 4.2
Keyword: partisan admittedly	score: 4.2
Keyword: political pinata	score: 4.0
Keyword: test kid	score: 4.0
Keyword: gun lobby	score: 4.0
Keyword: wall street	score: 4.0
Keyword: bona fides	score: 4.0
Keyword: larger percentage	score: 4.0
Keyword: marco rubio	score: 4.0
Keyword: outreach workers	score: 4.0
Keyword: harsh criticism	score: 4.0
Keyword: house bound	score: 4.0
Keyword: news channel	score: 4.0
Keyword: terribly damaged	score: 4.0
Keyword: chuck asked	score: 4.0
Keyword: forthrightly asked	score: 4.0
Keyword: powerful groups	score: 4.0
Keyword: single payer	score: 4.0
Keyword: separate investigations	score: 4.0
Keyword: morning shows	score: 4.0
Keyword: quicker response	score: 4.0
Keyword: madeleine albright	score: 4.0
Keyword: fire stations	score: 4.0
Keyword: pat leahy	score: 4.0
Keyword: testing set	score: 4.0
Keyword: double standard	score: 4.0
Keyword: draw contrasts	score: 4.0
Keyword: potential nominee	score: 4.0
Keyword: bit weary	score: 4.0
Keyword: front lines	score: 4.0
Keyword: direct knowledge	score: 4.0
Keyword: private sector	score: 4.0
Keyword: offensive comments	score: 4.0
Keyword: huge set	score: 4.0
Keyword: fair game	score: 4.0
Keyword: digital operations	score: 4.0
Keyword: amy klobuchar	score: 4.0
Keyword: officials explained	score: 4.0
Keyword: wall street â	score: 4.0
Keyword: constant undercurrent	score: 4.0
Keyword: holding office	score: 4.0
Keyword: drug companies	score: 4.0
Keyword: kirsten gillibrand	score: 4.0
Keyword: deeply offensive	score: 4.0
Keyword: geographic areas	score: 4.0
Keyword: national scene	score: 4.0
Keyword: cory booker	score: 4.0
Keyword: proud liberal	score: 4.0
Keyword: baseball hat	score: 4.0
Keyword: stay involved	score: 4.0
Keyword: cast suspicion	score: 4.0
Keyword: madeleine kunin	score: 4.0
Keyword: embassy personnel	score: 4.0
Keyword: real detail	score: 4.0
Keyword: vast majority	score: 4.0
Keyword: elected officials	score: 4.0
Keyword: economy fails	score: 4.0
Keyword: politics fails	score: 4.0
Keyword: artful smears	score: 4.0
Keyword: personal commitment	score: 4.0
Keyword: tremendous amount	score: 4.0
Keyword: county commissioners	score: 4.0
Keyword: absolutely contrary	score: 4.0
Keyword: tim kaine	score: 4.0
Keyword: insurance companies	score: 4.0
Keyword: saturday night	score: 4.0
Keyword: president obama	score: 3.90476190476
Keyword: clean water	score: 3.85714285714
Keyword: water delivery	score: 3.85714285714
Keyword: bottled water	score: 3.85714285714
Keyword: water warriors	score: 3.85714285714
Keyword: long haul	score: 3.75
Keyword: city council	score: 3.75
Keyword: public attention	score: 3.75
Keyword: public life	score: 3.75
Keyword: long list	score: 3.75
Keyword: public office	score: 3.75
Keyword: democrats didn	score: 3.66666666667
Keyword: lost 258 marines	score: 3.66666666667
Keyword: bankruptcy bill	score: 3.66666666667
Keyword: republican debate	score: 3.66666666667
Keyword: partisan attack	score: 3.6
Keyword: presidential candidates	score: 3.5
Keyword: accusations flying	score: 3.5
Keyword: argument basically	score: 3.5
Keyword: harassed online	score: 3.5
Keyword: frivolous reason	score: 3.5
Keyword: incognito situation	score: 3.5
Keyword: incredible mayor	score: 3.5
Keyword: uphill battle	score: 3.5
Keyword: significantly ahead	score: 3.5
Keyword: specifically wanted	score: 3.5
Keyword: concerted effort	score: 3.5
Keyword: terrorist problems	score: 3.5
Keyword: feel good	score: 3.5
Keyword: attacked 50/50	score: 3.5
Keyword: government fails	score: 3.5
Keyword: elderly people	score: 3.45
Keyword: hire people	score: 3.45
Keyword: people decide	score: 3.45
Keyword: young people	score: 3.45
Keyword: cloud people	score: 3.45
Keyword: relentless attack	score: 3.4
Keyword: women open	score: 3.4
Keyword: women voters	score: 3.4
Keyword: interesting question	score: 3.33333333333
Keyword: letters answered	score: 3.33333333333
Keyword: literally couldn	score: 3.33333333333
Keyword: emergency management	score: 3.33333333333
Keyword: post things	score: 3.28571428571
Keyword: basic things	score: 3.28571428571
Keyword: madam secretary	score: 3.25
Keyword: good campaign	score: 3.25
Keyword: wool republicans	score: 3.25
Keyword: campaign hypocritical	score: 3.25
Keyword: attacks proved	score: 3.25
Keyword: day delivery	score: 3.2
Keyword: lost people	score: 3.11666666667
Keyword: people didn	score: 3.11666666667
Keyword: families needed	score: 3.0
Keyword: knew iowa	score: 2.83333333333
Keyword: planning process	score: 2.83333333333
Keyword: bill clinton	score: 2.82666666667
Keyword: president clinton	score: 2.73142857143
Keyword: day basis	score: 2.7
Keyword: hampshire primary	score: 2.7
Keyword: people talk	score: 2.7
Keyword: event yesterday	score: 2.66666666667
Keyword: thing happen	score: 2.66666666667
Keyword: talking yesterday	score: 2.66666666667
Keyword: people don	score: 2.56111111111
Keyword: polls	score: 2.5
Keyword: calling	score: 2.5
Keyword: senator	score: 2.4
Keyword: approach	score: 2.33333333333
Keyword: events	score: 2.33333333333
Keyword: great	score: 2.0
Keyword: year	score: 2.0
Keyword: ground	score: 2.0
Keyword: senate	score: 2.0
Keyword: presidency â	score: 2.0
Keyword: expected	score: 2.0
Keyword: detail	score: 2.0
Keyword: hear	score: 2.0
Keyword: water	score: 1.85714285714
Keyword: public	score: 1.75
Keyword: city	score: 1.75
Keyword: campaign	score: 1.75
Keyword: long	score: 1.75
Keyword: didn	score: 1.66666666667
Keyword: speeches	score: 1.66666666667
Keyword: bill	score: 1.66666666667
Keyword: lost	score: 1.66666666667
Keyword: president	score: 1.57142857143
Keyword: battle	score: 1.5
Keyword: ahead	score: 1.5
Keyword: effort	score: 1.5
Keyword: process	score: 1.5
