
Keyword: mortgage market mess back	score: 15.5
Keyword: state hillary rodham clinton	score: 13.5
Keyword: incredibly difficult conversations listening	score: 13.5
Keyword: senator marco rubio claimed	score: 13.0
Keyword: american presidency projectpromote	score: 9.0
Keyword: gave lehman brothers	score: 9.0
Keyword: carried interest loophole	score: 9.0
Keyword: nonmedical reasons puts	score: 8.5
Keyword: facing horrible kinds	score: 8.33333333333
Keyword: back read roe	score: 8.16666666667
Keyword: making abortion safe	score: 7.75
Keyword: toughest financial regulations	score: 7.66666666667
Keyword: financial service firms	score: 7.66666666667
Keyword: financial interests â quote â	score: 7.66666666667
Keyword: financial services industry	score: 7.66666666667
Keyword: great crash happened	score: 6.66666666667
Keyword: difficult choices	score: 5.0
Keyword: senator rubio	score: 5.0
Keyword: financial abuse	score: 4.66666666667
Keyword: financial system	score: 4.66666666667
Keyword: nonmedical abortions	score: 4.5
Keyword: senator sanders	score: 4.33333333333
Keyword: excruciating kinds	score: 4.33333333333
Keyword: reasonable kinds	score: 4.33333333333
Keyword: hedge funds	score: 4.0
Keyword: republican constituency	score: 4.0
Keyword: president obama	score: 4.0
Keyword: false charges	score: 4.0
Keyword: pretty pathetic	score: 4.0
Keyword: national spotlight	score: 4.0
Keyword: elected official	score: 4.0
Keyword: bernie sanders	score: 4.0
Keyword: wall street	score: 4.0
Keyword: great mix	score: 4.0
Keyword: 1930s efforts	score: 4.0
Keyword: greater access	score: 4.0
Keyword: big lobbies	score: 4.0
Keyword: democratic politics	score: 4.0
Keyword: drug companies	score: 4.0
Keyword: effective effort	score: 4.0
Keyword: pharmacy companies	score: 4.0
Keyword: big part	score: 4.0
Keyword: gun lobby	score: 4.0
Keyword: shadow banking	score: 4.0
Keyword: absolutely foundational	score: 4.0
Keyword: extra leverage	score: 4.0
Keyword: term abortions	score: 4.0
Keyword: washington post	score: 4.0
Keyword: extreme side	score: 4.0
Keyword: basic facts	score: 4.0
Keyword: great recession	score: 4.0
Keyword: elective office	score: 4.0
Keyword: contributing factors	score: 4.0
Keyword: deregulate slots	score: 4.0
Keyword: full disclosure	score: 4.0
Keyword: artful smear	score: 4.0
Keyword: amusing contrast	score: 4.0
Keyword: due date	score: 4.0
Keyword: automatically disqualified	score: 4.0
Keyword: undue influence	score: 4.0
Keyword: insurance companies	score: 4.0
Keyword: restoring glass	score: 4.0
Keyword: town hall	score: 4.0
Keyword: medical issues	score: 4.0
Keyword: planned parenthood	score: 4.0
Keyword: digit gap	score: 4.0
Keyword: individual woman	score: 3.75
Keyword: woman president	score: 3.75
Keyword: support abortion	score: 3.75
Keyword: successful campaign	score: 3.71428571429
Keyword: campaign season	score: 3.71428571429
Keyword: sanders campaign	score: 3.71428571429
Keyword: political campaign	score: 3.71428571429
Keyword: solve problems	score: 3.66666666667
Keyword: solving problems	score: 3.66666666667
Keyword: link donations	score: 3.5
Keyword: republican debate	score: 3.5
Keyword: flint today	score: 3.5
Keyword: advocate taking	score: 3.4
Keyword: true tactic	score: 3.33333333333
Keyword: frank bill	score: 3.33333333333
Keyword: woman running	score: 3.25
Keyword: remind people	score: 3.25
